ID,Text,Comment
Calloatti.SyncModsPro.Button.Cancel,"Cancelar",
Calloatti.SyncModsPro.Button.Confirm,"OK",
Calloatti.SyncModsPro.Button.LoadGame,"Cargar partida",
Calloatti.SyncModsPro.Button.OK,"OK",
Calloatti.SyncModsPro.Button.Restart,"Reiniciar",
Calloatti.SyncModsPro.Button.RestartLoad,"Reiniciar + Cargar",
Calloatti.SyncModsPro.Button.SaveProfile,"Guardar perfil",
Calloatti.SyncModsPro.Button.StrictFlipOff,"DESACTIVADO estricto",
Calloatti.SyncModsPro.Button.StrictFlipOn,"ACTIVADO estricto",
Calloatti.SyncModsPro.Button.Sync,"Sincronizar",
Calloatti.SyncModsPro.Column.Active,"Activo",
Calloatti.SyncModsPro.Column.CurrentState,"Actual",
Calloatti.SyncModsPro.Column.CurrentVersion,"Versión del mod",
Calloatti.SyncModsPro.Column.Enabled,"Habilitado",
Calloatti.SyncModsPro.Column.Id,"ID del mod",
Calloatti.SyncModsPro.Column.MinGameVer,"Versión del juego",
Calloatti.SyncModsPro.Column.Name,"Nombre del mod",
Calloatti.SyncModsPro.Column.SavedState,"Guardado",
Calloatti.SyncModsPro.Column.SavedVersion,"Versión guardada",
Calloatti.SyncModsPro.Column.Status,"Estado",
Calloatti.SyncModsPro.Column.TargetState,"Destino",
Calloatti.SyncModsPro.Column.VersionFolder,"Carpeta de versión",
Calloatti.SyncModsPro.Confirmation,"¿Está seguro de que desea cargar la partida guardada?",
Calloatti.SyncModsPro.Info,"La lista de mods actual coincide con la lista de mods de la partida guardada.",
Calloatti.SyncModsPro.MissingMod.Description,"Este mod falta en su disco duro.","Description shown for a saved mod that is not installed locally."
Calloatti.SyncModsPro.ObsoleteMods.Warning,"Se detectaron los siguientes mods y se desactivaron automáticamente para evitar conflictos. El juego debe reiniciarse ahora para aplicar estos cambios:{0}",
Calloatti.SyncModsPro.Profile.SaveFailure,"Error al guardar el perfil de mod. Consulte los archivos de registro de la consola para más detalles.","Dialog message shown when exporting the current mod profile fails."
Calloatti.SyncModsPro.Profile.SaveSuccess,"¡Perfil de mod guardado exitosamente dentro de la carpeta 'Mod Profiles' del asentamiento!","Dialog message shown when exporting the current mod profile succeeds."
Calloatti.SyncModsPro.ShowAll,"Mostrar todo",
Calloatti.SyncModsPro.Status.Disabled,"Desactivado",
Calloatti.SyncModsPro.Status.Duplicate,"Duplicado",
Calloatti.SyncModsPro.Status.HideNotApplicable,"Ocultar N/A",
Calloatti.SyncModsPro.Status.Match,"Coincidencia",
Calloatti.SyncModsPro.Status.Missing,"Falta",
Calloatti.SyncModsPro.Status.New,"Nuevo",
