ID,Text,Comment
Calloatti.SyncModsPro.Button.Cancel,"Annulla",
Calloatti.SyncModsPro.Button.Confirm,"OK",
Calloatti.SyncModsPro.Button.LoadGame,"Carica partita",
Calloatti.SyncModsPro.Button.OK,"OK",
Calloatti.SyncModsPro.Button.Restart,"Riavvia",
Calloatti.SyncModsPro.Button.RestartLoad,"Riavvia + Carica",
Calloatti.SyncModsPro.Button.SaveProfile,"Salva profilo",
Calloatti.SyncModsPro.Button.StrictFlipOff,"SPENTO stretto",
Calloatti.SyncModsPro.Button.StrictFlipOn,"ACCESO stretto",
Calloatti.SyncModsPro.Button.Sync,"Sincronizza",
Calloatti.SyncModsPro.Column.Active,"Attivo",
Calloatti.SyncModsPro.Column.CurrentState,"Corrente",
Calloatti.SyncModsPro.Column.CurrentVersion,"Versione mod",
Calloatti.SyncModsPro.Column.Enabled,"Abilitato",
Calloatti.SyncModsPro.Column.Id,"ID mod",
Calloatti.SyncModsPro.Column.MinGameVer,"Versione gioco",
Calloatti.SyncModsPro.Column.Name,"Nome mod",
Calloatti.SyncModsPro.Column.SavedState,"Salvato",
Calloatti.SyncModsPro.Column.SavedVersion,"Versione salvata",
Calloatti.SyncModsPro.Column.Status,"Stato",
Calloatti.SyncModsPro.Column.TargetState,"Destinazione",
Calloatti.SyncModsPro.Column.VersionFolder,"Cartella versione",
Calloatti.SyncModsPro.Confirmation,"Sei sicuro di voler caricare la partita salvata?",
Calloatti.SyncModsPro.Info,"L'elenco dei mod attuale corrisponde all'elenco dei mod della partita salvata.",
Calloatti.SyncModsPro.MissingMod.Description,"Questo mod è mancante dal tuo disco rigido.","Description shown for a saved mod that is not installed locally."
Calloatti.SyncModsPro.ObsoleteMods.Warning,"I seguenti mod sono stati rilevati e automaticamente disabilitati per prevenire conflitti. Il gioco deve ora riavviarsi per applicare queste modifiche:{0}",
Calloatti.SyncModsPro.Profile.SaveFailure,"Salvataggio del profilo mod fallito. Controlla i file di log della console per i dettagli.","Dialog message shown when exporting the current mod profile fails."
Calloatti.SyncModsPro.Profile.SaveSuccess,"Profilo mod salvato con successo nella cartella 'Mod Profiles' dell'insediamento!","Dialog message shown when exporting the current mod profile succeeds."
Calloatti.SyncModsPro.ShowAll,"Mostra tutto",
Calloatti.SyncModsPro.Status.Disabled,"Disabilitato",
