ID,Text,Comment
Calloatti.SyncModsPro.Button.Cancel,"취소",
Calloatti.SyncModsPro.Button.Confirm,"OK",
Calloatti.SyncModsPro.Button.LoadGame,"게임 로드",
Calloatti.SyncModsPro.Button.OK,"OK",
Calloatti.SyncModsPro.Button.Restart,"재시작",
Calloatti.SyncModsPro.Button.RestartLoad,"재시작 + 로드",
Calloatti.SyncModsPro.Button.SaveProfile,"프로파일 저장",
Calloatti.SyncModsPro.Button.StrictFlipOff,"엄격 끄기",
Calloatti.SyncModsPro.Button.StrictFlipOn,"엄격 켜기",
Calloatti.SyncModsPro.Button.Sync,"동기화",
Calloatti.SyncModsPro.Column.Active,"활성",
Calloatti.SyncModsPro.Column.CurrentState,"현재",
Calloatti.SyncModsPro.Column.CurrentVersion,"모드 버전",
Calloatti.SyncModsPro.Column.Enabled,"활성화됨",
Calloatti.SyncModsPro.Column.Id,"모드 ID",
Calloatti.SyncModsPro.Column.MinGameVer,"게임 버전",
Calloatti.SyncModsPro.Column.Name,"모드 이름",
Calloatti.SyncModsPro.Column.SavedState,"저장됨",
Calloatti.SyncModsPro.Column.SavedVersion,"저장 버전",
Calloatti.SyncModsPro.Column.Status,"상태",
Calloatti.SyncModsPro.Column.TargetState,"대상",
Calloatti.SyncModsPro.Column.VersionFolder,"버전 폴더",
Calloatti.SyncModsPro.Confirmation,"저장된 게임을 로드하시겠습니까?",
Calloatti.SyncModsPro.Info,"현재 모드 목록이 저장된 게임의 모드 목록과 일치합니다.",
Calloatti.SyncModsPro.MissingMod.Description,"이 모드가 하드 드라이브에서 누락되었습니다.","Description shown for a saved mod that is not installed locally."
Calloatti.SyncModsPro.ObsoleteMods.Warning,"다음 모드가 감지되어 충돌을 방지하기 위해 자동으로 비활성화되었습니다. 이러한 변경 사항을 적용하려면 게임을 다시 시작해야 합니다:{0}",
Calloatti.SyncModsPro.Profile.SaveFailure,"모드 프로파일 저장에 실패했습니다. 자세한 내용은 콘솔 로그 파일을 확인하세요.","Dialog message shown when exporting the current mod profile fails."
Calloatti.SyncModsPro.Profile.SaveSuccess,"모드 프로파일이 'Mod Profiles' 정착지 폴더에 성공적으로 저장되었습니다!","Dialog message shown when exporting the current mod profile succeeds."
Calloatti.SyncModsPro.ShowAll,"모두 표시",
Calloatti.SyncModsPro.Status.Disabled,"비활성화됨",
Calloatti.SyncModsPro.Status.Duplicate,"중복",
Calloatti.SyncModsPro.Status.HideNotApplicable,"해당 없음 숨기기",
Calloatti.SyncModsPro.Status.Match,"일치",
Calloatti.SyncModsPro.Status.Missing,"누락",
Calloatti.SyncModsPro.Status.New,"새로움",
Calloatti.SyncModsPro.Status.NotApplicable,"해당 없음",
Calloatti.SyncModsPro.Status.Restart,"재시작",
Calloatti.SyncModsPro.Steam.DialogTitle,"Steam Workshop 동기화","Title for Steam Workshop subscription result dialogs."
Calloatti.SyncModsPro.Steam.SubscribeIoFailure,"Steam 서버와 통신 실패: <b>{0}</b> ({1}) 구독 중","Steam subscribe error. {0} is the mod name. {1} is the Steam Workshop item ID."
Calloatti.SyncModsPro.Steam.SubscribePrompt,"<b>{0}</b>을(를) 구독하시겠습니까?","Steam confirmation prompt. {0} is the mod name."
Calloatti.SyncModsPro.Steam.SubscribeRejected,"Steam이 구독 요청을 거부했습니다: <b>{0}</b>. 오류 코드: {1}","Steam subscribe rejection. {0} is the mod name. {1} is the Steam error code."
Calloatti.SyncModsPro.Steam.SubscribeSuccess,"<b>{0}</b> 구독 성공. Steam 클라이언트가 곧 파일 다운로드를 시작합니다. 변경 사항을 적용하려면 <b>게임을 재시작</b>해야 합니다.","Steam subscribe success message. {0} is the mod name."
Calloatti.SyncModsPro.Steam.UnknownMod,"알 수 없는 모드","Fallback mod name used when a Steam callback cannot be matched to a tracked mod."
Calloatti.SyncModsPro.Steam.UnsubscribeIoFailure,"Steam 서버와 통신 실패: <b>{0}</b> ({1}) 구독 취소 중","Steam unsubscribe error. {0} is the mod name. {1} is the Steam Workshop item ID."
Calloatti.SyncModsPro.Steam.UnsubscribePrompt,"<b>{0}</b> 구독을 취소하시겠습니까?","Steam confirmation prompt. {0} is the mod name."
Calloatti.SyncModsPro.Steam.UnsubscribeRejected,"Steam이 구독 취소 요청을 거부했습니다: <b>{0}</b>. 오류 코드: {1}","Steam unsubscribe rejection. {0} is the mod name. {1} is the Steam error code."
Calloatti.SyncModsPro.Steam.UnsubscribeSuccess,"<b>{0}</b> 구독 취소 성공. <b>게임 재시작</b> 시 파일이 완전히 제거됩니다.","Steam unsubscribe success message. {0} is the mod name."
Calloatti.SyncModsPro.SyncDialogboxText,"모드가 동기화되었습니다. 지금 게임을 재시작하세요.",
Calloatti.SyncModsPro.Tooltip.LoadGame,"현재 활성 모드 구성으로 이 저장 파일을 지금 로드하세요. (모드가 누락된 경우 문제가 발생할 수 있습니다!)",
Calloatti.SyncModsPro.Tooltip.Restart,"게임을 즉시 재시작합니다. 모드 변경 사항이 적용됩니다.",
Calloatti.SyncModsPro.Tooltip.RestartLoad,"게임을 재시작하고 부팅이 완료되면 이 특정 저장 파일을 자동으로 로드합니다.",
Calloatti.SyncModsPro.Tooltip.SaveProfile,"현재 활성 모드 구성을 Mod 프로파일 정착지에 저장된 게임으로 내보냅니다.",
Calloatti.SyncModsPro.Tooltip.StrictFlip,"현재 활성화된 추가 모드를 활성화/비활성화합니다.",
Calloatti.SyncModsPro.Tooltip.Sync,"모드 동기화. 재시작 필요.",
Calloatti.SyncModsPro.Warning,"현재 모드 목록이 저장된 게임의 모드 목록과 일치하지 않습니다.",
Calloatti.SyncModsPro.Warning.RestartRequired,"변경 사항은 게임 재시작까지 적용되지 않습니다.",
