ID,Text,Comment
Calloatti.SyncModsPro.Button.Cancel,"Cancelar",
Calloatti.SyncModsPro.Button.Confirm,"OK",
Calloatti.SyncModsPro.Button.LoadGame,"Carregar jogo",
Calloatti.SyncModsPro.Button.OK,"OK",
Calloatti.SyncModsPro.Button.Restart,"Reiniciar",
Calloatti.SyncModsPro.Button.RestartLoad,"Reiniciar + Carregar",
Calloatti.SyncModsPro.Button.SaveProfile,"Salvar perfil",
Calloatti.SyncModsPro.Button.StrictFlipOff,"DESLIGADO estrito",
Calloatti.SyncModsPro.Button.StrictFlipOn,"LIGADO estrito",
Calloatti.SyncModsPro.Button.Sync,"Sincronizar",
Calloatti.SyncModsPro.Column.Active,"Ativo",
Calloatti.SyncModsPro.Column.CurrentState,"Atual",
Calloatti.SyncModsPro.Column.CurrentVersion,"Versão do mod",
Calloatti.SyncModsPro.Column.Enabled,"Habilitado",
Calloatti.SyncModsPro.Column.Id,"ID do mod",
Calloatti.SyncModsPro.Column.MinGameVer,"Versão do jogo",
Calloatti.SyncModsPro.Column.Name,"Nome do mod",
Calloatti.SyncModsPro.Column.SavedState,"Salvo",
Calloatti.SyncModsPro.Column.SavedVersion,"Versão salva",
Calloatti.SyncModsPro.Column.Status,"Status",
Calloatti.SyncModsPro.Column.TargetState,"Destino",
Calloatti.SyncModsPro.Column.VersionFolder,"Pasta de versão",
Calloatti.SyncModsPro.Confirmation,"Tem certeza de que deseja carregar o jogo salvo?",
Calloatti.SyncModsPro.Info,"A lista de mods atual corresponde à lista de mods do jogo salvo.",
Calloatti.SyncModsPro.MissingMod.Description,"Este mod está faltando no seu disco rígido.","Description shown for a saved mod that is not installed locally."
Calloatti.SyncModsPro.ObsoleteMods.Warning,"Os seguintes mods foram detectados e desativados automaticamente para evitar conflitos. O jogo deve reiniciar agora para aplicar estas alterações:{0}",
Calloatti.SyncModsPro.Profile.SaveFailure,"Falha ao salvar o perfil de mod. Verifique os arquivos de log do console para detalhes.","Dialog message shown when exporting the current mod profile fails."
Calloatti.SyncModsPro.Profile.SaveSuccess,"Perfil de mod salvo com sucesso na pasta 'Mod Profiles' do assentamento!","Dialog message shown when exporting the current mod profile succeeds."
Calloatti.SyncModsPro.ShowAll,"Mostrar tudo",
Calloatti.SyncModsPro.Status.Disabled,"Desativado",
Calloatti.SyncModsPro.Status.Duplicate,"Duplicado",
Calloatti.SyncModsPro.Status.HideNotApplicable,"Ocultar N/A",
Calloatti.SyncModsPro.Status.Match,"Correspondência",
Calloatti.SyncModsPro.Status.Missing,"Ausente",
Calloatti.SyncModsPro.Status.New,"Novo",
Calloatti.SyncModsPro.Status.NotApplicable,"N/A",
