ID,Text,Comment
Calloatti.SyncModsPro.Button.Cancel,"Скасувати",
Calloatti.SyncModsPro.Button.Confirm,"ОК",
Calloatti.SyncModsPro.Button.LoadGame,"Завантажити гру",
Calloatti.SyncModsPro.Button.OK,"ОК",
Calloatti.SyncModsPro.Button.Restart,"Перезапустити",
Calloatti.SyncModsPro.Button.RestartLoad,"Перезапустити + Завантажити",
Calloatti.SyncModsPro.Button.SaveProfile,"Зберегти профіль",
Calloatti.SyncModsPro.Button.StrictFlipOff,"Строгий ВИМК",
Calloatti.SyncModsPro.Button.StrictFlipOn,"Строгий УВІМК",
Calloatti.SyncModsPro.Button.Sync,"Синхронізувати",
Calloatti.SyncModsPro.Column.Active,"Активний",
Calloatti.SyncModsPro.Column.CurrentState,"Поточний",
Calloatti.SyncModsPro.Column.CurrentVersion,"Версія моду",
Calloatti.SyncModsPro.Column.Enabled,"Увімкнено",
Calloatti.SyncModsPro.Column.Id,"ID моду",
Calloatti.SyncModsPro.Column.MinGameVer,"Версія гри",
Calloatti.SyncModsPro.Column.Name,"Назва моду",
Calloatti.SyncModsPro.Column.SavedState,"Збережено",
Calloatti.SyncModsPro.Column.SavedVersion,"Збережена версія",
Calloatti.SyncModsPro.Column.Status,"Статус",
Calloatti.SyncModsPro.Column.TargetState,"Ціль",
Calloatti.SyncModsPro.Column.VersionFolder,"Папка версії",
Calloatti.SyncModsPro.Confirmation,"Ви впевнені, що хочете завантажити збережену гру?",
Calloatti.SyncModsPro.Info,"Поточний список модів відповідає списку модів збереженої гри.",
Calloatti.SyncModsPro.MissingMod.Description,"Цей модуль відсутній на вашому жорсткому диску.","Description shown for a saved mod that is not installed locally."
Calloatti.SyncModsPro.ObsoleteMods.Warning,"Наступні моди було виявлено та автоматично вимкнено для запобігання конфліктам. Гру потрібно перезапустити, щоб застосувати ці зміни:{0}",
Calloatti.SyncModsPro.Profile.SaveFailure,"Не вдалося зберегти профіль модів. Перевірте файли журналу консолі для отримання деталей.","Dialog message shown when exporting the current mod profile fails."
Calloatti.SyncModsPro.Profile.SaveSuccess,"Профіль модів успішно збережено в папці поселення 'Mod Profiles'!","Dialog message shown when exporting the current mod profile succeeds."
Calloatti.SyncModsPro.ShowAll,"Показати все",
Calloatti.SyncModsPro.Status.Disabled,"Вимкнено",
Calloatti.SyncModsPro.Status.Duplicate,"Дублікат",
Calloatti.SyncModsPro.Status.HideNotApplicable,"Приховати N/A",
Calloatti.SyncModsPro.Status.Match,"Збіг",
Calloatti.SyncModsPro.Status.Missing,"Відсутній",
Calloatti.SyncModsPro.Status.New,"Новий",
Calloatti.SyncModsPro.Status.NotApplicable,"N/A",
Calloatti.SyncModsPro.Status.Restart,"Перезапуск",
Calloatti.SyncModsPro.Steam.DialogTitle,"Синхронізація Steam Workshop","Title for Steam Workshop subscription result dialogs."
