ID,Text,Comment
Calloatti.Config.SyncModsPro.OnlyOpenOnMismatch.Label,僅在Mod不符時開啟,
Calloatti.Config.SyncModsPro.OnlyOpenOnMismatch.Tooltip,僅在Mod遺失或與存檔檔案版本不符時顯示Sync Mods面板。,
Calloatti.Config.SyncModsPro.ShowFolderColumn.Label,顯示版本資料夾欄,
Calloatti.Config.SyncModsPro.ShowFolderColumn.Tooltip,顯示Mod所在的目錄/子資料夾路徑。,
Calloatti.Config.SyncModsPro.ShowIdColumn.Label,顯示ID欄,
Calloatti.Config.SyncModsPro.ShowIdColumn.Tooltip,在驗證清單中顯示唯一的Mod ID欄。,
Calloatti.Config.SyncModsPro.ShowMinVerColumn.Label,顯示最低遊戲版本欄,
Calloatti.Config.SyncModsPro.ShowMinVerColumn.Tooltip,顯示Mod資訊清單所需的最低遊戲版本。,
Calloatti.Config.SyncModsPro.SkipExperimentalDialog.Label,跳過實驗版對話框,
Calloatti.Config.SyncModsPro.SkipExperimentalDialog.Tooltip,啟動時跳過實驗版的警告對話框。,
Calloatti.SyncModsPro.Button.Cancel,取消,
Calloatti.SyncModsPro.Button.Confirm,確定,
Calloatti.SyncModsPro.Button.LoadGame,載入遊戲,
Calloatti.SyncModsPro.Button.OK,確定,
Calloatti.SyncModsPro.Button.Restart,重新啟動,
Calloatti.SyncModsPro.Button.RestartLoad,重新啟動 + 載入,
Calloatti.SyncModsPro.Button.SaveProfile,儲存設定檔,
Calloatti.SyncModsPro.Button.StrictFlipOff,嚴格關閉,
Calloatti.SyncModsPro.Button.StrictFlipOn,嚴格開啟,
Calloatti.SyncModsPro.Button.Sync,同步,
Calloatti.SyncModsPro.Column.Active,活躍,
Calloatti.SyncModsPro.Column.CurrentState,目前,
Calloatti.SyncModsPro.Column.CurrentVersion,Mod版本,
Calloatti.SyncModsPro.Column.Enabled,已啟用,
Calloatti.SyncModsPro.Column.Id,Mod ID,
Calloatti.SyncModsPro.Column.MinGameVer,遊戲版本,
Calloatti.SyncModsPro.Column.Name,Mod名稱,
