ID,Text,Comment
Calloatti.Config.SyncModsPro.OnlyOpenOnMismatch.Label,仅在Mod不匹配时打开,
Calloatti.Config.SyncModsPro.OnlyOpenOnMismatch.Tooltip,仅在Mod缺失或与存档文件版本不匹配时显示Sync Mods面板。,
Calloatti.Config.SyncModsPro.ShowFolderColumn.Label,显示版本文件夹列,
Calloatti.Config.SyncModsPro.ShowFolderColumn.Tooltip,显示Mod所在的目录/子文件夹路径。,
Calloatti.Config.SyncModsPro.ShowIdColumn.Label,显示ID列,
Calloatti.Config.SyncModsPro.ShowIdColumn.Tooltip,在验证列表中显示唯一的Mod ID列。,
Calloatti.Config.SyncModsPro.ShowMinVerColumn.Label,显示最低游戏版本列,
Calloatti.Config.SyncModsPro.ShowMinVerColumn.Tooltip,显示Mod清单所需的最低游戏版本。,
Calloatti.Config.SyncModsPro.SkipExperimentalDialog.Label,跳过试验版对话框,
Calloatti.Config.SyncModsPro.SkipExperimentalDialog.Tooltip,启动时跳过试验版的警告对话框。,
Calloatti.SyncModsPro.Button.Cancel,取消,
Calloatti.SyncModsPro.Button.Confirm,确定,
Calloatti.SyncModsPro.Button.LoadGame,加载游戏,
Calloatti.SyncModsPro.Button.OK,确定,
Calloatti.SyncModsPro.Button.Restart,重新启动,
Calloatti.SyncModsPro.Button.RestartLoad,重新启动 + 加载,
Calloatti.SyncModsPro.Button.SaveProfile,保存配置,
Calloatti.SyncModsPro.Button.StrictFlipOff,严格关闭,
Calloatti.SyncModsPro.Button.StrictFlipOn,严格开启,
Calloatti.SyncModsPro.Button.Sync,同步,
Calloatti.SyncModsPro.Column.Active,活跃,
Calloatti.SyncModsPro.Column.CurrentState,当前,
Calloatti.SyncModsPro.Column.CurrentVersion,Mod版本,
Calloatti.SyncModsPro.Column.Enabled,已启用,
Calloatti.SyncModsPro.Column.Id,Mod ID,
Calloatti.SyncModsPro.Column.MinGameVer,游戏版本,
Calloatti.SyncModsPro.Column.Name,Mod名称,
Calloatti.SyncModsPro.Column.SavedState,已保存,
Calloatti.SyncModsPro.Column.SavedVersion,保存版本,
Calloatti.SyncModsPro.Column.Status,状态,
Calloatti.SyncModsPro.Column.TargetState,目标,
Calloatti.SyncModsPro.Column.VersionFolder,版本文件夹,
Calloatti.SyncModsPro.Confirmation,您确定要加载已保存的游戏吗？,
Calloatti.SyncModsPro.Info,当前Mod列表与已保存的游戏Mod列表匹配。,
Calloatti.SyncModsPro.MissingMod.Description,此Mod在您的硬盘上缺失。,Description shown for a saved mod that is not installed locally.
Calloatti.SyncModsPro.ObsoleteMods.Warning,检测到以下Mod并已自动禁用以防止冲突。游戏必须重新启动才能应用这些更改:{0},
Calloatti.SyncModsPro.Profile.SaveFailure,保存Mod配置失败。请查看控制台日志文件了解详情。,Dialog message shown when exporting the current mod profile fails.
Calloatti.SyncModsPro.Profile.SaveSuccess,Mod配置已成功保存到'Mod Profiles'定居点文件夹中！,Dialog message shown when exporting the current mod profile succeeds.
